group,horizon,trade_count,median_alpha,mean_alpha,sharpe_like
BOTH,8,41,0.0984171910310582,0.1231722342996035,0.5525362001539625
BOTH,10,41,0.1264136473166299,0.1458789518679856,0.5509800631062373
BOTH,13,41,0.1190160944297886,0.16749087759064257,0.6725454256469217
BOTH,16,41,0.1177806303327781,0.1790329007998976,0.6552325994942607
BOTH,20,41,0.098841358204464,0.18935794348529567,0.6199014824018491
BOTH,-1,205,0.1110879566018807,0.160986581608685,0.6062144701126356
BREAKOUT_ONLY,8,103,0.0383968818102712,0.05616633842551498,0.3842946607440473
BREAKOUT_ONLY,10,103,0.0086408261305623,0.053916517541119376,0.3212870892227641
BREAKOUT_ONLY,13,103,0.0443476982872779,0.0606235906262829,0.3225394666432855
BREAKOUT_ONLY,16,103,0.0698053237744702,0.08762236357059548,0.396842350314786
BREAKOUT_ONLY,20,103,0.0591266888590665,0.11740063602905493,0.4427376799184399
BREAKOUT_ONLY,-1,515,0.0445156711481109,0.07514588923851354,0.36942841144362687
MA_ONLY,8,124,0.03569489830847825,0.06135290767545726,0.4190166859634641
MA_ONLY,10,124,0.0253291982352064,0.06392382166835771,0.3846478444688395
MA_ONLY,13,124,0.05931813298768515,0.06832169484837446,0.3603365399701565
MA_ONLY,16,124,0.06612487806361975,0.08816669542173075,0.4063538576973869
MA_ONLY,20,124,0.0723857326586243,0.11407601932585472,0.43515475654588354
MA_ONLY,-1,620,0.04376912338907045,0.07916822778795499,0.3931245760795774
