strategy,variant,horizon,median_yearly_alpha,sharpe,trade_count
Hybrid,OR_breakout_20d_ma5_gt_ma10_gt_ma20,8,0.04571329432758315,0.4366354748918011,221
Hybrid,OR_breakout_20d_ma5_gt_ma10_gt_ma20,10,0.01395325194399405,0.3999586707666728,221
Hybrid,OR_breakout_20d_ma5_gt_ma10_gt_ma20,13,0.01873715658886255,0.3972527188730539,221
Hybrid,OR_breakout_20d_ma5_gt_ma10_gt_ma20,16,0.0493760292210514,0.42647498997604577,221
Hybrid,OR_breakout_20d_ma5_gt_ma10_gt_ma20,20,0.0756149458302462,0.46370070178443284,221
Hybrid,breakout_20d,8,0.0634890390203651,0.43196511872780563,144
Hybrid,breakout_20d,10,0.0409703072208129,0.3916683962639448,144
Hybrid,breakout_20d,13,0.0720312981118453,0.4280131971678716,144
Hybrid,breakout_20d,16,0.0601386086239724,0.472595714756541,144
Hybrid,breakout_20d,20,0.0888416986944665,0.493985125221058,144
Hybrid,ma5_gt_ma10_gt_ma20,8,0.0510501255135691,0.44913736777922575,165
Hybrid,ma5_gt_ma10_gt_ma20,10,0.0461824500740139,0.42448528341604064,165
Hybrid,ma5_gt_ma10_gt_ma20,13,0.08609112013256195,0.44185926485684596,165
Hybrid,ma5_gt_ma10_gt_ma20,16,0.0659912056134036,0.47020927985651895,165
Hybrid,ma5_gt_ma10_gt_ma20,20,0.08461380129653234,0.4820002797195764,165
