entry_date,exit_signal_date,exit_date,entry_px,exit_px,ret,hold_days,exit_reason,sell_tier,mkt_dd_count,stk_dd_count,sell_v4,sell_mkt_dd,sell_stk_dd,symbol
2018-08-01,2018-08-31,2018-09-04,8828.600519925127,9523.600752857925,0.0787214498338964,34,MARKET_DD,,5.0,2.0,False,True,False,SSI
2018-09-06,2018-09-10,2018-09-11,9393.75314836324,9462.747073925926,0.007344660272950554,5,MARKET_DD,,5.0,2.0,False,True,False,SSI
2018-09-12,2018-10-11,2018-10-12,9913.08259071178,9441.58466642586,-0.04756319943583409,30,UGLY_BAR,MA50,2.0,3.0,True,False,True,SSI
2018-11-29,2018-12-03,2018-12-04,8975.536898352295,9253.38032091571,0.030955632594460214,5,MARKET_DD,,6.0,1.0,False,True,False,SSI
2019-01-28,2019-01-30,2019-01-31,8251.195324099303,8186.889029691528,-0.00779357315902518,3,STOCK_DD,,2.0,3.0,False,False,True,SSI
2019-06-21,2019-06-25,2019-06-26,7904.771092934829,7763.429252293689,-0.017880573514325815,5,MARKET_DD,,6.0,5.0,False,True,True,SSI
2019-07-08,2019-07-10,2019-07-11,7983.5038727449355,7873.2151205079435,-0.013814579913151825,3,SELL_V4,MA50,5.0,3.0,True,True,True,SSI
2019-07-18,2019-07-23,2019-07-24,8046.490096593022,7920.266206885482,-0.015686825956696904,6,SELL_V4,MA50,4.0,1.0,True,False,False,SSI
2019-08-22,2019-08-26,2019-08-27,7101.696738871728,6822.407524742939,-0.03932711074524986,5,STOCK_DD,,4.0,5.0,False,False,True,SSI
2019-10-25,2019-10-29,2019-10-30,7007.49859131143,6930.37296373564,-0.011006156700683056,5,STOCK_DD,,3.0,5.0,False,False,True,SSI
2019-11-01,2019-11-05,2019-11-06,7007.49859131143,7143.363149382361,0.01938845314066695,5,STOCK_DD,,3.0,4.0,False,False,True,SSI
2020-05-11,2020-05-13,2020-05-14,5228.317728315551,5264.462034769587,0.006913180937395236,3,STOCK_DD,,2.0,5.0,False,False,True,SSI
2020-09-07,2020-10-02,2020-10-05,6292.0174994384715,7297.905739046726,0.15986736205009366,28,STOCK_DD,,4.0,3.0,False,False,True,SSI
2020-11-24,2020-11-30,2020-12-01,7631.608321899565,7601.142819616534,-0.003992015968063756,7,STOCK_DD,,2.0,3.0,False,False,True,SSI
2020-12-02,2020-12-04,2020-12-07,7875.170289619763,8227.832786127472,0.044781570878861254,5,STOCK_DD,,2.0,3.0,False,False,True,SSI
2021-01-13,2021-01-19,2021-01-20,14004.813143911437,13827.610873983269,-0.012652954959645912,7,UGLY_BAR,MA10,2.0,2.0,True,False,False,SSI
2021-05-11,2021-06-04,2021-06-07,14207.781450344934,19488.03637795303,0.37164528086683823,27,STOCK_DD,,3.0,3.0,False,False,True,SSI
2021-06-28,2021-07-05,2021-07-06,22673.121122602242,23283.165070227664,0.0269060419307372,8,STOCK_DD,,3.0,3.0,False,False,True,SSI
2021-08-16,2021-08-18,2021-08-19,25362.451182764922,25096.367305785214,-0.010491252405466445,3,STOCK_DD,,4.0,3.0,False,False,True,SSI
2021-11-02,2021-11-04,2021-11-05,25063.89843813145,26046.61204738354,0.0392083303272972,3,STOCK_DD,,2.0,3.0,False,False,True,SSI
2022-02-28,2022-03-02,2022-03-03,27660.880685937846,27069.22730097597,-0.02138953533980059,3,STOCK_DD,,4.0,3.0,False,False,True,SSI
2022-07-11,2022-07-13,2022-07-14,13670.503349513869,13649.22126542535,-0.0015567886232422667,3,MARKET_DD,,5.0,2.0,False,True,False,SSI
2022-08-19,2022-08-23,2022-08-24,16778.955211383774,17078.171973568788,0.017832860176062004,5,STOCK_DD,,2.0,3.0,False,False,True,SSI
2023-02-21,2023-02-23,2023-02-24,13904.472844493326,13149.859511812228,-0.05427126516198355,3,MARKET_DD,,6.0,5.0,False,True,True,SSI
2023-05-19,2023-05-23,2023-05-24,15241.441387233068,15413.632794858382,0.011297580278040398,5,STOCK_DD,,4.0,3.0,False,False,True,SSI
2023-07-05,2023-08-01,2023-08-02,18551.228078149194,19861.229053174407,0.07061532365979661,28,STOCK_DD,,2.0,3.0,False,False,True,SSI
2023-08-15,2023-08-17,2023-08-18,20288.234452507728,20553.25794004459,0.013062915265359853,3,STOCK_DD,,4.0,5.0,False,False,True,SSI
2023-08-23,2023-08-25,2023-08-28,21538.879042045875,22352.533045907083,0.037776060781662846,5,MARKET_DD,,5.0,2.0,False,True,False,SSI
2023-09-13,2023-09-15,2023-09-18,25151.852300711642,24221.011040456593,-0.03700885521774122,5,MARKET_DD,,5.0,3.0,False,True,True,SSI
2024-01-25,2024-02-22,2024-02-23,23658.026818763297,23944.199485708516,0.012096218722613461,29,SELL_V4,MA10,3.0,2.0,True,False,False,SSI
2024-02-27,2024-02-29,2024-03-01,24491.789878455395,25881.880368945043,0.05675740717147271,3,STOCK_DD,,3.0,3.0,False,False,True,SSI
