episode_start_date,symbol,score_name,rank_on_start_date,p20,fwd_ret20,fwd_mdd20,label_wave20,industryCode,traded_value_vnd,adv50_vnd
2023-04-18,PGB,B0_baseline_p20,1,0.9913294781678962,-0.0969696969696969,-0.1575757575757576,0.0,8350,14549700000.0,3477046200.0
2023-04-18,BSI,B0_baseline_p20,2,0.9836238199033897,-0.0207972270363951,-0.0433275563258231,0.0,8780,67410910000.0,16900125300.0
2023-04-18,LSS,B0_baseline_p20,3,0.9696500246166784,0.2651265126512652,0.0088008800880088,1.0,3570,12110607000.0,3565576620.0
2023-04-18,API,B0_baseline_p20,4,0.9618272258209534,0.1102362204724409,-0.0708661417322833,1.0,8630,24113490000.0,6614293800.0
2023-04-18,CTD,B0_baseline_p20,5,0.9603041053460046,0.2339181286549707,0.0331384015594542,1.0,2350,46031490000.0,17083694500.0
2023-04-18,IDJ,B0_baseline_p20,6,0.9514631870590337,0.1311475409836067,-0.040983606557377,1.0,8630,49669860000.0,25089351800.0
2023-04-18,FTS,B0_baseline_p20,7,0.9460205817618224,-0.0814558058925477,-0.1265164644714038,0.0,8780,120812260000.0,41188555400.0
2023-04-18,DIG,B0_baseline_p20,8,0.937985855001802,0.17816091954023,-0.0689655172413792,1.0,8630,577984500000.0,213674844900.0
2023-04-18,APS,B0_baseline_p20,9,0.9291368823765236,0.1574803149606298,-0.0314960629921259,1.0,8780,31527750000.0,18184482800.0
2023-04-18,VDS,B0_baseline_p20,10,0.9167038567461624,0.1964472309299894,-0.0282131661442005,1.0,8780,3444243000.0,2641636240.0
2023-04-18,TCD,B0_baseline_p20,11,0.9155203211797416,0.1417624521072795,-0.0191570881226054,1.0,2770,4510863000.0,3624457440.0
2023-04-18,ORS,B0_baseline_p20,12,0.9117009138351124,0.1069958847736625,-0.0041152263374486,1.0,8780,27816210000.0,23979995220.0
2023-04-18,DTD,B0_baseline_p20,13,0.9033211221937556,0.6416184971098264,-0.0751445086705202,1.0,2350,14044140000.0,4954089200.0
2023-04-18,NVL,B0_baseline_p20,14,0.8864260103405344,-0.1111111111111111,-0.1279461279461279,0.0,8630,392772105000.0,248380417000.0
2023-04-18,AGR,B0_baseline_p20,15,0.885683930761146,0.2376237623762376,0.0693069306930693,1.0,8780,16409470000.0,7425563780.0
2023-04-18,CTS,B0_baseline_p20,16,0.8808780939403746,-0.01699716713881,-0.0934844192634559,0.0,8780,59639350000.0,25345651700.0
2023-04-18,CTF,B0_baseline_p20,17,0.8740404544257082,-0.0573333333333333,-0.0653333333333333,0.0,3350,42183750000.0,22127161900.0
2023-04-18,HHP,B0_baseline_p20,18,0.8709575546345206,0.1256281407035175,-0.0050251256281406,1.0,1730,2287505000.0,3965135920.0
2023-04-18,HQC,B0_baseline_p20,19,0.867724874211038,0.0344827586206897,-0.0344827586206895,0.0,8630,28597770000.0,51626036160.0
2023-04-18,SKG,B0_baseline_p20,20,0.8598495626539063,0.1561561561561562,0.03003003003003,1.0,2770,22337640000.0,3504133000.0
2023-04-19,PET,B0_baseline_p20,6,0.9463182842338772,-0.0588235294117647,-0.0588235294117647,0.0,5370,52596300000.0,13698987300.0
2023-04-19,TVD,B0_baseline_p20,11,0.9131738934499636,0.01875,-0.1125,0.0,1770,22873600000.0,5606444200.0
2023-04-19,NBC,B0_baseline_p20,12,0.9101155018892017,0.016,-0.104,0.0,1770,13250000000.0,2853784400.0
2023-04-19,BMP,B0_baseline_p20,13,0.9081053830832908,0.1488721804511279,0.0436090225563909,1.0,1350,68262250000.0,5292392600.0
2023-04-20,CST,B0_baseline_p20,10,0.914906402150782,-0.0829694323144104,-0.1397379912663755,0.0,1770,24260260000.0,5000021800.0
